source,target,category,status,first_use,notes
UPS,不间断电源（UPS）,abbreviation,draft,chapter_5,"First use: 不间断电源（UPS）; later UPS."
uninterruptible power supply,不间断电源,power,draft,chapter_5,
PDU,配电单元（PDU）,abbreviation,draft,chapter_5,"First use: 配电单元（PDU）; later PDU."
Power Distribution Unit,配电单元,power,draft,chapter_5,
busbar,母线槽,power,draft,chapter_5,"Use 母线 when referring to abstract electrical bus."
backup generator,备用发电机,power,draft,chapter_5,
automatic transfer switch,自动转换开关,power,draft,chapter_5,
ATS,自动转换开关（ATS）,abbreviation,draft,chapter_5,
radial power architecture,径向供电架构,power,draft,chapter_5,
medium voltage power plane,中压供电平面,power,draft,chapter_5,
unit substation,单元变电站,power,draft,chapter_5,
power oversubscription,功率超配,power,draft,chapter_5,
distributed redundant architecture,分布式冗余架构,power,draft,chapter_5,
DR,分布式冗余（DR）,abbreviation,draft,chapter_5,
HVDC,高压直流（HVDC）,abbreviation,draft,chapter_5,
high-voltage DC,高压直流,power,draft,chapter_5,
PSU,电源供应单元（PSU）,abbreviation,draft,chapter_5,
power factor correction,功率因数校正,power,draft,chapter_5,
double conversion,双转换,power,draft,chapter_5,
line-interactive,在线互动式,power,draft,chapter_5,
delta-conversion,Delta 转换,power,draft,chapter_5,"Keep Delta if uncertain."
48V DC power bus,48V 直流电源总线,power,draft,chapter_5,
lead-acid battery,铅酸电池,power,draft,chapter_5,
Li-ion battery,锂离子电池,power,draft,chapter_5,
LFP,磷酸铁锂（LFP）,abbreviation,draft,chapter_5,
thermal runaway,热失控,power,draft,chapter_5,
microgrid,微电网,power,draft,chapter_5,
CFE,无碳能源（CFE）,abbreviation,draft,chapter_5,"Carbon-free energy."
behind the meter,表后,power,draft,chapter_5,
dispatchable load,可调度负载,power,draft,chapter_5,
power capping,功率封顶,power,draft,chapter_5,
cooling system,制冷系统,cooling,draft,chapter_5,
free cooling,自然冷却,cooling,draft,chapter_5,
airflow,气流,cooling,draft,chapter_5,
air circuit,空气回路,cooling,draft,chapter_5,
closed loop,闭环,cooling,draft,chapter_5,
open loop,开环,cooling,draft,chapter_5,
heat exchanger,换热器,cooling,draft,chapter_5,
raised floor,架空地板,cooling,draft,chapter_5,
underfloor plenum,地板下静压箱,cooling,draft,chapter_5,
CRAC,计算机房空调（CRAC）,abbreviation,draft,chapter_5,
computer room air conditioner,计算机房空调,cooling,draft,chapter_5,
process chilled water supply,工艺冷冻水供水,cooling,draft,chapter_5,
PCWS,工艺冷冻水供水（PCWS）,abbreviation,draft,chapter_5,
chiller,冷水机组,cooling,draft,chapter_5,
cooling tower,冷却塔,cooling,draft,chapter_5,
condenser water loop,冷凝水回路,cooling,draft,chapter_5,
evaporative cooling,蒸发冷却,cooling,draft,chapter_5,
dry bulb temperature,干球温度,cooling,draft,chapter_5,
CFM,立方英尺每分钟（CFM）,abbreviation,draft,chapter_5,
CFD,计算流体力学（CFD）,abbreviation,draft,chapter_5,
in-rack cooling,机架内制冷,cooling,draft,chapter_5,
in-row cooling,列间制冷,cooling,draft,chapter_5,
cold plate,冷板,cooling,draft,chapter_5,
liquid cooling,液冷,cooling,draft,chapter_5,
CDU,冷却分配单元（CDU）,abbreviation,draft,chapter_5,
cooling distribution unit,冷却分配单元,cooling,draft,chapter_5,
immersion cooling,浸没式冷却,cooling,draft,chapter_5,
single-phase immersion cooling,单相浸没式冷却,cooling,draft,chapter_5,
two-phase immersion cooling,两相浸没式冷却,cooling,draft,chapter_5,
PUE,电能使用效率（PUE）,abbreviation,draft,chapter_5,
modular data center,模块化数据中心,construction,draft,chapter_5,
kit-of-parts construction,部件套件式建造,construction,draft,chapter_5,
prefabrication,预制化,construction,draft,chapter_5,
fit-out,装配施工,construction,draft,chapter_5,
floor fit-out,机房楼层装配施工,construction,draft,chapter_5,
cluster fit-out,集群装配施工,construction,draft,chapter_5,
envelope,包络,construction,draft,chapter_5,"For five-envelope framework; may revise after review."
five-envelope framework,五包络框架,construction,draft,chapter_5,"Draft translation; needs user review."
rack mover,机架搬运机器人,operations,draft,chapter_5,
AGV,自动导引车（AGV）,abbreviation,draft,chapter_5,
storage media,存储介质,operations,draft,chapter_5,
media verification device,介质验证设备,operations,draft,chapter_5,
disk shredder,磁盘粉碎机,operations,draft,chapter_5,
container-based data center,集装箱式数据中心,construction,draft,chapter_5,
warehouse-level,仓库级,construction,draft,chapter_5,
right sizing,规模适配,construction,draft,chapter_5,"Avoid literal 右尺寸."
